related_law,질문,답변
"['전기안전관리법 22조', '전기안전관리법 48조']",제가 소유한 건물은 일반용 전기설비를 사용하고 있습니다. 저와 같은 경우에도 전기안전관리자를 선임해야 하나요?,"아닙니다. 전기안전관리자는 자가용 전기설비의 소유자 또는 점유자에게만 선임의무가 있으니, 일반용 전기설비의 소유자는 한국전기안전공사 또는 전기판매업자로부터 정기적으로 점검을 받으면 됩니다."
"['승강기 안전관리법 48조', '승강기 안전관리법 82조']",한 건물에서 승강기 안전관리자로 근무하고 있습니다. 지난 주에 승강기가 갑자기 멈춰 안에 타고 있던 사람이 다쳤습니다. 이러한 사항을 보고해야 한다고 하는데 사실인가요?,"네, 맞습니다. 승강기 관리주체는 그가 관리하는 승강기에서 이용자가 죽거나 다치는 등의 중대한 사고가 발생하거나 출입문이 열린 상태에서 승강기가 운행되는 경우 등의 중대한 고장이 발생한 경우에는 한국승강기안전공단에 이를 통보해야 할 의무를 부담합니다."
"['지진ㆍ화산재해대책법 16조의2', '지진ㆍ화산재해대책법 시행규칙 3조의4']",제가 소유하고 있는 건물은 내진설계가 되어 있지 않아 지진과 같은 만일의 사태가 발생하면 어떻게 해야 하나 걱정입니다. 이런 경우 국가의 지원을 받아 보강할 수 있는 방법이 있다고 하던데 사실인가요?,"네, 가능합니다. 시·도지사 등은 내진설계가 되어 있지 않은 민간 소유의 건축물에 대한 내진보강을 권장하기 위해 조세를 감면할 수 있고, 보험 관련 단체나 기관 등은 지진재해 관련 보험료율을 차등 적용해 줄 수 있습니다"
"['자원의 절약과 재활용촉진에 관한 법률 41조', '자원의 절약과 재활용촉진에 관한 법률 시행규칙 10조의3']",관리하는 건물의 재활용 배출기준을 지키지 않아 개선이행명령을 받았습니다. 당장 개선을 할 수 없는데 어떻게 해야 하나요?,"개선이행명령을 받았으나 기한 내에 개선을 할 수 없을 경우에는 이행기간의 연장을 신청할 수 있습니다.
☞ 개선기간 및 수거 여건 등을 고려하여 폐기물배출자가 이행기간의 연장을 신청할 경우에는 3개월의 범위에서 그 기간이 연장될 수 있습니다.
☞ 폐기물배출자가 개선이행조치명령을 이행하지 않을 경우에는 100만원 이하의 과태료를 부과받습니다."
"['공중화장실 등에 관한 법률 8조', '공중화장실 등에 관한 법률 시행령 7조']","제가 소유하고 있는 건물에 공중화장실을 설치하였는데, 공중화장실을 관리하는 기준이 따로 있는지, 또 그 기준은 무엇인지 궁금합니다.","공중화장실이 설치된 장소 또는 시설을 소유·관리하는 자는 다음의 기준에 따라 공중화장실을 관리해야 합니다.
☞ 공중화장실이 설치된 장소 또는 시설을 소유·관리하는 자는 다음의 기준에 따라 공중화장실을 관리해야 합니다.
1. 관리인을 두어 위생적으로 관리하고, 입구에 관리인의 연락처를 게시할 것
2. 악취의 발산과 파리·모기 등 해로운 벌레의 발생·번식을 방지하기 위해 공중화장실의 내부 및 외부를 4월부터 9월까지는 주 3회 이상, 10월부터 다음해 3월까지는 주 1회 이상 소독을 실시할 것
3. 대변기 칸막이 안에는 휴지통을 두지 않을 것. 단, 다음의 어느 하나에 해당하는 경우에는 휴지통을 둘 수 있음
√ 장애인·노인·임산부 등이 사용할 수 있는 변기가 설치된 경우
√ 영유아용 기저귀교환대가 설치된 경우
4. 여성용 대변기 칸막이 안에는 위생용품을 수거할 수 있는 수거함 등을 둘 것. 단, 어린이만 사용하는 경우 등 이용자의 특성상 위생용품 수거가 필요 없는 경우에는 위생용품 수거함 등을 두지 않을 수 있음
5. 청소 또는 보수 등을 위해 남성 관리인이 여성화장실을, 여성 관리인이 남성화장실을 출입하는 경우에는 화장실 입구에 청소 또는 보수 중임을 알리는 안내표지판을 두어 이용자가 알 수 있도록 할 것
6. 그 밖에 공중화장실과 그 주변의 청결을 위해 특별자치시, 특별자치도, 시·군 또는 구의 조례로 정하는 사항을 준수할 것"
"['수도법 33조', '수도법 시행규칙 22조의4', '수도법 시행규칙 22조의4']","연면적이 5천제곱미터 이상인 건물을 소유하고 있습니다. 저수조를 청소하고 위생점검도 받아야 한다는데, 언제 해야 하나요?","저수조 청소 및 위생점검 시기는 다음의 기준에 따라야 합니다.
☞ 저수조 위생조치 대상건물의 소유자나 관리자(이하 “소유자등”이라 함)은 반기 1회 이상 저수조를 청소해야 하고, 저수조가 신축되었거나 1개월 이상 사용이 중단된 경우에는 사용 전에 청소를 해야 합니다.
☞ 저수조 위생조치 대상건물의 소유자등은 월 1회 이상 저수조의 위생상태를 점검기준에 따라 점검해야 합니다."
['수도법 시행규칙 23조'],"급수관 검사를 했는데, 검사항목 중 일부가 기준치를 초과하면 어떻게 해야 하나요?","급수관 일반검사를 실시한 결과 검사항목 중 일부가 검사기준을 초과하면 급수관을 세척·갱생·교체하거나 전문검사를 실시해야 합니다.
☞ 급수관을 검사해야 하는 건축물 또는 시설(이하 “급수관 검사 대상건물”이라 함)의 소유자나 관리자(이하 “소유자등”이라 함)는 일반검사를 실시한 결과 검사항목 중 탁도, 수소이온 농도, 색도 또는 철에 대한 검사기준을 초과하는 경우에는 급수관을 세척해야 합니다. 단, 급수관이 아연도강관인 경우에는 검사항목 중 검사기준을 초과하는 항목이 한 개 이상 있으면 반드시 이를 갱생하거나 교체해야 합니다.
☞ 급수관 검사 대상건물의 소유자등은 일반검사 결과가 ① 검사항목에 대한 검사기준을 2회 연속 초과하는 경우 ② 검사항목 중 납·구리 또는 아연에 대한 검사기준을 초과하는 경우에는 전문검사를 하고, 급수관을 갱생해야 합니다. 단, 전문검사 결과 갱생만으로는 내구성을 유지하기 어려울 정도로 노후한 급수관은 새 급수관으로 교체해야 합니다."
['수도법 시행규칙 23조'],"급수관 검사를 해야 하는 건물을 관리하고 있는데, 준공검사 후 3년이 지났습니다. 급수관 검사를 언제 해야 하나요?","급수관을 검사해야 하는 건축물 또는 시설(이하 “급수관 검사 대상건물”이라 함)의 소유자나 관리자(이하 “소유자등”이라 함)는 그 건물의 준공검사(급수관의 갱생·교체 등의 조치를 한 경우 포함함)를 실시한 날부터 5년이 경과하면 다음의 기준에 따라 검사를 받아야 합니다.
☞ 최초 일반검사: 급수관 검사 대상건물의 준공검사(급수관의 갱생·교체 등의 조치를 한 경우를 포함함)를 실시한 날부터 5년이 경과한 날을 기준으로 6개월 이내에 실시
☞ 2회 이후의 일반검사: 최근 일반검사를 받은 날부터 2년이 되는 날까지 2년마다 실시"
"['하수도법 39조', '하수도법 시행규칙 33조']",개인하수처리시설이 설치된 건물을 관리하고 있습니다. 해당 시설의 관리기준이 궁금합니다.,"개인하수처리시설은 다음의 운영·관리기준에 따라 관리해야 합니다.
☞ 개인하수처리시설의 소유자등은 방류수의 수질자가측정 및 내부청소 등에 관하여 다음 기준에 따라 그 시설을 유지·관리해야 합니다.
1. 다음의 구분에 따른 기간마다 그 시설로부터 배출되는 방류수의 수질을 자가측정하거나 측정대행업자가 측정하게 하고, 그 결과를 기록하여 3년 동안 보관할 것
√ 1일 처리용량이 200세제곱미터 이상인 오수처리시설과 1일 처리대상 인원이 2천 명 이상인 정화조： 6개월마다 1회 이상
√ 1일 처리용량이 50세제곱미터 이상 200세제곱미터 미만인 오수처리시설과 1일 처리대상 인원이 1천 명 이상 2천 명 미만인 정화조： 연 1회 이상
2. 정화조는 연 1회 이상 내부청소를 할 것. 단, 「하수도법 시행령」 제4조제1호부터 제5호까지와 제10호에 따른 구역 또는 지역에서 아래의 어느 하나에 해당하는 영업을 하는 건물등에 설치된 정화조는 6개월마다 1회 이상 내부청소를 해야 함
√ 관광숙박업 또는 관광객 이용시설업(관광유람선업과 외국인전용 관광기념품판매업은 제외함)
√ 식품접객업. 단, 제과점영업과 다방영업(주로 차 종류를 조리·판매하는 영업을 말함)은 제외함
√ 숙박업
3. 오수처리시설은 그 기능이 정상적으로 유지될 수 있도록 침전 찌꺼기와 부유 물질 제거 등 내부청소를 해야 하며, 청소 과정에서 발생된 찌꺼기를 탈수하여 처리하거나 분뇨수집·운반업자에게 위탁하여 처리할 것
4. 1일 처리대상 인원이 500명 이상인 정화조에서 배출되는 방류수는 염소 등으로 소독할 것
☞ 공공하수처리시설 또는 공공폐수처리시설로 오수를 유입시켜 처리하는 지역에 설치된 개인하수처리시설에는 위의 관리기준 중 1.과 4.는 적용하지 않고, 해당 지역에 설치된 오수처리시설은 연 1회 이상 내부청소만 하면 됩니다."
"['실내공기질 관리법 12조', '실내공기질 관리법 16조', '실내공기질 관리법 시행령 10조', '실내공기질 관리법 시행규칙 11조']",실내공기질 관리대상 건물은 실내공기질을 측정한 후 그 기록을 보존해야 한다고 들었어요. 기록은 얼마동안 보존해야 하나요? 만약 보존하지 않을 경우에 불이익을 받을 수도 있나요?,"실내공기질 관리대상 건물의 소유자·점유자 또는 관리자 등 관리책임이 있는 자(이하 “소유자등”이라 함)는 측정결과를 10년 동안 기록·보존해야 하며, 이를 위반할 경우 과태료를 부과받습니다.
☞ 실내공기질 관리대상 건물의 소유자등은 실내공기질을 스스로 측정하거나 실내공간오염물질의 측정업무를 대행하는 영업의 등록을 한 자로 하여금 측정하도록 하고 그 결과를 10년 동안 기록·보존해야 합니다.
☞ 단, 다음의 어느 하나에 해당하는 자는 제외됩니다.
1. 측정망이 설치되어 실내공기질을 상시 측정할 수 있는 건물의 소유자등
2. 측정기기를 부착하고 이를 운영·관리하고 있는 건물의 소유자등
3. 그 밖에 다음의 어느 하나에 해당하는 자
√ 환경부장관이 실시하는 실태조사(실내공기질의 측정을 포함한 경우로 한정함)를 받은 건물의 소유자등. 이 경우 실태조사를 실시한 해당 연도에만 실내공기질의 측정 및 기록·보존(이하 “측정등”이라 함)을 면제하며, 해당 연도에 이미 측정등을 실시한 경우에는 다음 연도의 측정등을 면제함
√ 채취된 오염물질에 대해 오염도검사를 받은 건물의 소유자등. 이 경우 오염도검사를 실시한 해당 연도에만 측정등을 면제하며, 해당 연도에 이미 측정등을 실시한 경우에는 다음 연도의 측정등을 면제함
√ 「실내공기질 관리법 시행령」 제5조제1호 또는 제2호에 해당하는 자
☞ 실내공기질 관리대상 건물의 소유자등이 위 사항을 위반하여 실내공기질 측정을 하지 않은 경우 또는 측정결과를 기록·보존하지 않거나 거짓으로 기록하여 보존한 경우에는 500만원 이하의 과태료를 부과받습니다(「실내공기질 관리법」 제16조제3항제8호)."
