키워드,법령명,조문 번호,조문 내용
근로,가사근로자의 고용개선 등에 관한 법률,6조 ①항,"제6조(다른 법률과의 관계)
① 이 법의 적용을 받는 가사근로자는 「근로기준법」, 「남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률」, 「최저임금법」 등 근로 관계 법령의 적용이 제외되는 가사(家事) 사용인으로 보지 아니하고, 이 법의 적용을 받는 가사근로자가 행하는 가사서비스는 「근로자퇴직급여 보장법」 등 근로 관계 법령의 적용이 제외되는 가구 내 고용활동으로 보지 아니한다."
근로,가사근로자의 고용개선 등에 관한 법률,6조 ②항,"제6조(다른 법률과의 관계)
② 가사근로자의 근로 관계에 관하여는 「근로기준법」 제17조, 제54조(입주가사근로자의 경우는 제외한다), 제55조, 제60조제1항ㆍ제2항ㆍ제4항 및 제5항을 적용하지 아니하고, 입주가사근로자의 근로 관계에 관하여는 「근로기준법」 제50조 및 제53조를 적용하지 아니한다."
근로,가사근로자의 고용개선 등에 관한 법률,16조 ①항,"제16조(유급휴일 및 연차 유급휴가)
① 가사서비스 제공기관의 사용자는 가사근로자에게 「근로기준법」 제55조 및 제60조에 준하는 수준의 유급휴일 및 연차 유급휴가를 주어야 한다."
근로,가사근로자의 고용개선 등에 관한 법률,16조 ②항,"제16조(유급휴일 및 연차 유급휴가)
② 제1항에 따른 유급휴일 및 연차 유급휴가의 구체적인 산정기준과 유급휴일 및 연차 유급휴가 기간에 가사서비스 제공기관의 사용자가 가사근로자에게 지급하여야 하는 임금의 산정기준은 가사근로자가 실제 근로한 시간을 기준으로 대통령령으로 정한다."
근로,가사근로자의 고용개선 등에 관한 법률,16조 ③항,"제16조(유급휴일 및 연차 유급휴가)
③ 제1항에 따른 연차 유급휴가는 가사근로자가 청구한 시기에 주어야 한다. 다만, 가사근로자가 청구한 시기에 휴가를 주는 것이 사업 운영에 막대한 지장을 주는 경우에는 그 시기를 변경할 수 있다."
근로,가사근로자의 고용개선 등에 관한 법률,16조 ④항,"제16조(유급휴일 및 연차 유급휴가)
④ 가사근로자의 연차 유급휴가에 관하여 「근로기준법」을 적용할 때 제1항 및 제2항에 따른 연차 유급휴가는 「근로기준법」 제60조제1항ㆍ제2항 및 제4항에 따른 연차 유급휴가로 본다."
근로,가사근로자의 고용개선 등에 관한 법률,26조,제7장 벌칙
근로,가사근로자의 고용개선 등에 관한 법률,26조 ①항,"제26조(벌칙)
① 제16조제1항 또는 제3항을 위반하여 유급휴일 및 연차 유급휴가를 주지 아니하거나 가사근로자가 청구한 시기에 연차 유급휴가를 주지 아니한 자(같은 조 제3항 단서에 따른 경우는 제외한다)는 2년 이하의 징역 또는 2천만원 이하의 벌금에 처한다."
근로,가사근로자의 고용개선 등에 관한 법률,26조 ②항,"제26조(벌칙)
② 제9조제3항 또는 제24조제4항을 위반하여 업무상 알게 된 비밀을 누설하거나 업무 목적 외의 용도로 사용한 자는 1년 이하의 징역 또는 1천만원 이하의 벌금에 처한다."
근로,가사근로자의 고용개선 등에 관한 법률,26조 ③항 1호,"제26조(벌칙)
③ 다음 각 호의 어느 하나에 해당하는 자는 500만원 이하의 벌금에 처한다.
1. 제7조제5항을 위반하여 이 법에 따라 인증받은 가사서비스 제공기관임을 사칭한 자"
